trial,H1,C1,L1_after_P1,p1_in_tokyo_after_P1,P2_mode,C2,L1_after_P2,P3_hits_P1,C3,P1_survives
186,2,1,4,False,Tokyo/clawmax,4.0,0,False,,False
187,4,0,6,False,Tokyo/clawmax,1.0,5,False,,True
188,3,0,5,False,Tokyo/clawmax,4.0,1,False,,True
189,2,0,4,False,Tokyo/clawmax,4.0,0,False,,False
190,4,1,6,False,Tokyo/clawmax,1.0,5,False,,True
191,4,0,6,False,Tokyo/clawmax,3.0,3,False,,True
192,3,3,5,True,Outside/heartmax,,5,True,4.0,True
193,2,0,4,False,Tokyo/clawmax,0.0,4,False,,True
194,4,0,6,False,Tokyo/clawmax,2.0,4,False,,True
195,1,1,3,False,Tokyo/clawmax,2.0,1,False,,True
196,1,1,3,False,Tokyo/clawmax,4.0,-1,False,,False
197,1,0,3,False,Tokyo/clawmax,3.0,0,False,,False
198,2,1,4,False,Tokyo/clawmax,5.0,-1,False,,False
199,3,1,5,False,Tokyo/clawmax,2.0,3,False,,True
200,1,0,3,False,Tokyo/clawmax,3.0,0,False,,False
